player_id,bb,avg,slg,ops,cs,sb,hr,rbi,lob,xbh,obp,h,r,ab,so,babip
650489,6,0.23,0.34,0.624,1,0,1,8,41,8,0.284,23,10,100,34,0.333
592348,46,0.248,0.421,0.743,3,12,12,45,194,44,0.322,105,61,423,138,0.338
606988,13,0.202,0.308,0.559,0,0,5,19,91,11,0.251,42,18,208,70,0.276
543257,59,0.24,0.348,0.682,4,9,6,38,142,30,0.334,101,57,420,86,0.288
592444,27,0.235,0.43,0.74,2,7,11,26,114,33,0.31,70,39,298,94,0.304
608577,28,0.268,0.469,0.786,1,4,19,66,181,47,0.318,115,69,429,108,0.312
467092,44,0.288,0.416,0.768,0,1,14,73,195,33,0.351,136,52,473,69,0.31
622682,14,0.304,0.431,0.767,3,9,3,25,86,24,0.336,84,29,276,64,0.384
668670,13,0.125,0.259,0.481,0,0,4,8,55,7,0.222,14,11,112,51,0.175
570731,20,0.256,0.473,0.777,1,1,23,59,220,47,0.304,111,61,433,116,0.298
621514,34,0.233,0.388,0.693,1,0,10,40,160,36,0.305,86,32,369,103,0.29
514888,41,0.298,0.55,0.903,5,6,31,74,182,61,0.353,149,89,500,82,0.303
670541,52,0.313,0.655,1.067,0,0,27,78,154,53,0.412,98,58,313,94,0.366
488726,51,0.311,0.503,0.875,2,3,22,90,244,64,0.372,179,88,575,66,0.32
608324,119,0.296,0.592,1.015,1,5,41,112,224,80,0.423,164,122,554,83,0.281
488771,33,0.232,0.435,0.767,0,0,13,30,113,22,0.332,55,39,237,88,0.307
621043,35,0.279,0.568,0.926,0,1,21,59,139,38,0.358,78,42,280,75,0.303
649557,26,0.271,0.467,0.823,0,2,9,40,98,22,0.356,57,36,210,28,0.268
493329,37,0.298,0.541,0.884,3,5,31,104,262,73,0.343,168,85,564,65,0.289
455117,32,0.14300000000000002,0.27666666666666667,0.5306666666666667,0,0,12,27,148,31,0.25366666666666665,71,46,333,86,0.16066666666666665
664702,19,0.269,0.343,0.721,1,8,0,7,43,6,0.378,29,27,108,24,0.345
596117,4,0.2,0.286,0.568,0,1,0,2,19,3,0.282,7,8,35,7,0.25
647351,9,0.218,0.385,0.688,1,1,2,9,50,7,0.303,17,13,78,19,0.259
663656,4,0.269,0.537,0.857,0,5,4,11,35,10,0.319,18,15,67,20,0.326
643217,59,0.266,0.431,0.774,3,10,13,68,214,58,0.343,144,72,541,140,0.333
641531,55,0.279,0.522,0.87,2,2,26,84,225,65,0.348,146,75,523,148,0.339
595956,11,0.238,0.365,0.677,1,0,3,12,44,10,0.312,30,14,126,28,0.281
642721,5,0.26,0.356,0.66,0,1,1,11,35,4,0.304,19,4,73,24,0.367
670032,18,0.24,0.325,0.601,1,1,2,30,160,26,0.276,91,44,379,51,0.273
643436,7,0.293,0.36,0.721,0,0,0,6,41,5,0.361,22,8,75,25,0.44
593160,45,0.302,0.463,0.811,10,20,16,74,207,67,0.348,206,105,681,126,0.35
609275,19,0.263,0.424,0.715,7,43,9,62,167,39,0.291,109,58,415,132,0.357
656811,39,0.195,0.369,0.65,1,0,14,38,162,28,0.281,64,32,328,99,0.23
467793,108,0.281,0.515,0.911,0,4,34,93,224,65,0.397,161,110,573,108,0.293
624585,73,0.265,0.569,0.922,1,3,48,117,242,82,0.354,156,95,589,178,0.294
572191,7,0.25,0.364,0.669,0,6,1,3,44,8,0.305,22,10,88,34,0.396
650619,10,0.211,0.286,0.544,1,0,1,15,50,8,0.259,28,7,133,44,0.293
620439,1,0.123,0.263,0.401,0,1,2,5,29,4,0.138,7,6,57,23,0.156
621532,1,0.251,0.3815,0.6415,0,0,1,4,26,2,0.26,7,2,54,21,0.4025
664058,55,0.29,0.384,0.734,3,8,6,49,190,40,0.35,173,83,596,64,0.317
451594,74,0.238,0.409,0.754,5,8,19,67,163,44,0.346,116,69,487,142,0.294
596825,7,0.208,0.5,0.775,0,0,5,11,36,9,0.275,15,8,72,35,0.303
578428,20,0.288,0.407,0.724,6,6,11,59,191,35,0.318,145,62,504,70,0.315
405395,43,0.244,0.43,0.734,0,3,23,93,223,45,0.305,120,55,491,68,0.238
543685,80,0.319,0.598,1.01,1,5,34,126,221,81,0.412,174,117,545,86,0.323
650859,40,0.238,0.364,0.685,5,2,7,33,151,28,0.321,85,44,357,93,0.3
545358,12,0.119,0.141,0.3405,0,0,1,5,58,2,0.199,18,7,132,49,0.179
435559,20,0.264,0.486,0.809,1,0,17,63,131,28,0.324,74,37,280,36,0.248
642136,17,0.211,0.422,0.714,0,0,8,23,76,15,0.293,31,17,147,52,0.264
545361,110,0.291,0.645,1.083,2,11,45,104,185,74,0.438,137,110,470,120,0.298
457708,32,0.215,0.416,0.724,1,1,12,40,110,20,0.309,47,34,219,78,0.261
665120,6,0.203,0.329,0.605,0,0,1,5,20,7,0.276,16,6,79,35,0.349
621493,6,0.19,0.333,0.625,0,0,1,2,25,4,0.292,8,4,42,23,0.389
605131,23,0.203,0.34,0.633,0,3,5,25,95,18,0.293,43,28,212,56,0.248
607461,17,0.265,0.458,0.775,0,5,9,46,94,29,0.317,66,36,249,33,0.275
641355,95,0.305,0.629,1.035,5,15,47,115,238,84,0.406,170,121,558,108,0.302
605141,97,0.295,0.524,0.915,3,16,29,80,184,74,0.391,176,135,597,101,0.309
666158,7,0.24,0.4,0.705,0,2,2,9,31,7,0.305,18,12,75,24,0.327
571970,90,0.251,0.515,0.889,1,4,35,98,215,58,0.374,122,101,487,149,0.283
641914,4,0.25,0.304,0.599,0,0,0,7,20,3,0.295,14,3,56,19,0.368
572041,23,0.266,0.468,0.795,1,5,15,47,136,31,0.327,82,49,308,74,0.3
621458,9,0.277,0.617,1.01,0,0,4,8,18,7,0.393,13,10,47,21,0.409
608369,44,0.272,0.483,0.817,0,1,19,87,230,64,0.335,133,82,489,98,0.303
669257,18,0.253,0.571,0.907,0,2,15,42,73,24,0.337,43,30,170,52,0.264
621035,37,0.262,0.462,0.794,0,8,12,52,143,45,0.333,96,52,366,115,0.344
542583,43,0.243,0.399,0.727,0,0,12,50,138,24,0.328,74,39,314,81,0.277
595751,22,0.262,0.425,0.736,4,4,18,57,206,33,0.312,113,44,431,154,0.364
605119,44,0.261,0.468,0.811,1,5,20,66,172,54,0.342,120,57,459,114,0.305
542932,24,0.273,0.406,0.755,3,17,6,24,90,21,0.348,70,52,256,73,0.36
621446,13,0.173,0.221,0.457,1,1,0,15,89,10,0.236,39,15,226,74,0.255
643265,33,0.281,0.446,0.791,0,0,15,50,142,32,0.344,107,52,381,110,0.357
656371,19,0.173,0.307,0.566,3,0,5,23,64,12,0.259,31,17,179,59,0.224
572816,16,0.304,0.565,0.905,0,1,12,59,109,42,0.33999999999999997,79,33,260,56,0.34299999999999997
516782,25,0.295,0.503,0.845,6,25,23,82,217,60,0.342,159,97,539,94,0.319
623912,18,0.276,0.416,0.728,1,2,11,50,154,34,0.312,116,54,421,91,0.328
500743,32,0.284,0.379,0.71,5,9,5,46,172,35,0.331,137,52,483,62,0.314
642423,2,0.35,0.425,0.806,3,3,0,1,14,2,0.381,14,5,40,7,0.424
595453,6,0.25,0.375,0.708,0,0,1,3,12,4,0.333,12,4,48,12,0.314
606115,43,0.223,0.35,0.633,5,8,15,59,226,32,0.283,110,51,494,109,0.253
456715,50,0.26,0.372,0.697,8,18,11,48,204,41,0.325,146,75,562,106,0.301
541645,31,0.282,0.464,0.796,4,10,20,72,228,47,0.332,138,61,489,125,0.34
669374,25,0.303,0.57,0.938,3,9,19,49,143,44,0.368,95,51,314,107,0.402
621005,15,0.27,0.36,0.72,3,6,1,12,47,8,0.359,30,11,111,29,0.354
571912,8,0.151,0.235,0.44,0,1,2,9,43,5,0.205,18,9,119,33,0.19
641856,19,0.215,0.422,0.696,2,0,12,28,75,27,0.274,54,37,251,73,0.25
553882,47,0.278,0.46,0.813,0,0,22,55,188,34,0.353,119,63,428,92,0.306
641924,0,0.333,0.833,1.262,0,0,1,4,1,1,0.429,2,1,6,2,0.333
444489,16,0.228,0.411,0.724,0,0,7,25,93,15,0.313,36,10,158,50,0.284
621002,24,0.213,0.295,0.607,2,2,2,19,96,12,0.312,44,23,207,59,0.288
621438,1,0.4,0.6,1.1,0,0,0,1,1,2,0.5,4,1,10,1,0.444
649966,25,0.223,0.326,0.655,1,0,4,24,85,13,0.329,48,27,215,56,0.284
596129,92,0.208,0.439,0.78,0,0,30,76,220,47,0.341,96,73,462,149,0.232
543939,47,0.285,0.423,0.784,4,24,11,59,200,40,0.361,136,61,478,83,0.321
592885,80,0.329,0.671,1.1,2,30,44,97,185,76,0.429,161,100,489,118,0.355
650333,36,0.334,0.439,0.838,2,2,4,28,96,25,0.399,109,54,326,29,0.355
553902,5,0.268,0.379,0.678,0,0,4,21,75,13,0.299,51,28,190,8,0.258
621439,19,0.262,0.513,0.827,3,14,10,46,126,44,0.314,71,48,271,68,0.314
595909,21,0.258,0.455,0.805,0,0,8,25,89,21,0.351,51,28,198,71,0.358
443558,56,0.311,0.639,1.031,1,0,41,108,170,67,0.392,141,81,454,131,0.351
518626,100,0.259,0.521,0.9,2,4,37,94,235,70,0.379,142,96,549,155,0.292
664247,5,0.25,0.521,0.842,0,0,3,6,21,7,0.321,12,8,48,19,0.346
641598,41,0.273,0.63,0.995,0,0,31,67,113,48,0.365,85,70,311,87,0.277
596146,60,0.252,0.519,0.855,5,1,36,90,171,68,0.336,132,98,524,99,0.244
593871,60,0.295,0.485,0.841,3,4,22,79,218,69,0.356,186,107,631,116,0.328
593934,55,0.247,0.576,0.923,1,0,34,79,187,55,0.346,94,76,380,159,0.319
592743,24,0.264,0.364,0.673,2,10,7,40,171,26,0.309,105,47,398,37,0.277
546991,16,0.236,0.381,0.651,1,2,12,32,168,24,0.271,80,41,339,62,0.255
624413,72,0.26,0.583,0.941,0,1,53,120,251,85,0.358,155,103,597,183,0.28
624424,84,0.257,0.494,0.856,2,7,33,92,228,63,0.363,141,90,549,149,0.29
605204,38,0.307,0.527,0.895,0,3,22,57,185,45,0.369,126,65,410,97,0.355
641645,7,0.246,0.361,0.684,0,0,1,3,26,5,0.324,15,8,61,14,0.304
628338,18,0.225,0.363,0.668,2,2,5,20,92,18,0.306,46,31,204,60,0.293
596019,46,0.284,0.518,0.854,5,22,32,74,184,74,0.335,170,101,598,98,0.291
500874,35,0.269,0.41,0.751,0,3,10,42,130,25,0.34,90,45,334,82,0.328
543510,30,0.273,0.46,0.789,1,4,18,60,180,45,0.328,120,62,439,137,0.359
643446,35,0.318,0.531,0.916,6,5,23,75,171,62,0.384,162,83,510,75,0.337
621512,7,0.191,0.316,0.547,0,0,4,14,68,9,0.231,26,9,136,37,0.232
607043,46,0.221,0.407,0.783,0,3,8,29,57,20,0.375,44,34,199,71,0.293
642086,19,0.282,0.525,0.881,2,1,11,25,79,21,0.355,50,35,177,44,0.32
542340,61,0.274,0.453,0.792,9,40,24,73,241,62,0.339,176,111,642,176,0.341
656185,11,0.229,0.346,0.636,2,8,4,27,116,16,0.29,53,30,231,53,0.28
609280,1,0.128,0.128,0.271,0,0,0,1,27,0,0.143,6,1,47,11,0.162
642731,3,0.25,0.438,0.732,0,4,3,12,23,6,0.294,16,12,64,15,0.283
645801,17,0.259,0.559,0.909,0,0,12,25,45,19,0.35,37,30,143,28,0.243
640449,16,0.267,0.489,0.806,2,1,12,38,89,26,0.317,60,31,225,70,0.329
543305,31,0.235,0.443,0.769,2,1,12,36,109,22,0.325,52,41,221,72,0.286
543309,0,0.214,0.464,0.675,0,0,3,11,26,8,0.211,12,8,56,26,0.321
592450,64,0.272,0.54,0.921,2,3,27,55,149,46,0.381,103,75,378,141,0.36
518934,46,0.327,0.518,0.893,2,5,26,102,175,61,0.375,197,109,602,90,0.349
596142,40,0.232,0.525,0.841,1,0,34,77,194,47,0.316,92,62,396,125,0.244
519317,12,0.288,0.492,0.894,0,0,3,13,23,6,0.403,17,8,59,24,0.424
643565,34,0.277,0.504,0.865,0,6,13,47,107,32,0.361,72,46,260,71,0.333
650402,48,0.278,0.535,0.871,2,5,38,90,219,64,0.337,152,96,546,129,0.296
570482,25,0.314,0.534,0.889,1,1,21,74,179,55,0.355,139,73,442,87,0.349
572228,71,0.263,0.464,0.842,0,0,21,62,179,43,0.378,113,72,429,142,0.345
642180,11,0.245,0.362,0.692,0,7,2,11,40,6,0.33,23,16,94,28,0.328
664119,6,0.215,0.277,0.559,0,0,0,3,37,4,0.282,14,4,65,21,0.318
462101,34,0.275,0.393,0.707,8,31,12,72,242,43,0.313,165,81,600,96,0.305
621450,1,0.1,0.2,0.382,0,0,0,0,3,1,0.182,1,1,10,3,0.143
664913,7,0.293,0.453,0.815,0,1,0,13,48,10,0.361,22,11,75,23,0.423
592192,67,0.273,0.517,0.913,2,3,26,58,178,45,0.396,112,80,410,107,0.308
656305,73,0.249,0.506,0.848,1,1,36,91,211,75,0.342,145,102,583,147,0.27
605244,4,0.143,0.31,0.527,0,0,2,5,16,3,0.217,6,5,42,21,0.211
643393,23,0.20500000000000002,0.361,0.6439999999999999,4,4,8,29,92,21,0.28300000000000003,52,31,245,47,0.224
657656,27,0.288,0.521,0.86,2,13,24,67,183,53,0.34,125,79,434,123,0.342
669221,6,0.245,0.566,0.899,0,0,4,8,29,9,0.333,13,14,53,16,0.273
621566,51,0.267,0.545,0.896,0,0,36,91,203,62,0.351,129,73,483,138,0.3
640461,20,0.24,0.416,0.706,1,0,13,47,173,34,0.29,82,45,341,88,0.284
572039,29,0.249,0.412,0.72,0,2,13,44,155,31,0.309,89,46,357,84,0.289
544369,17,0.238,0.441,0.718,1,2,16,61,134,32,0.276,77,47,324,53,0.237
547180,99,0.26,0.51,0.882,3,15,35,114,218,72,0.372,149,98,573,178,0.313
656514,14,0.266,0.396,0.72,0,4,5,26,91,19,0.324,59,30,222,60,0.344
656555,116,0.226,0.454,0.819,2,2,29,85,262,67,0.364,129,86,570,173,0.267
664068,34,0.258,0.474,0.788,4,15,19,55,185,57,0.315,118,64,458,147,0.337
595284,18,0.213,0.324,0.642,0,0,2,8,68,11,0.318,29,12,136,51,0.325
457705,43,0.256,0.457,0.834,1,2,10,29,53,23,0.378,56,45,219,55,0.299
596451,12,0.213,0.37,0.668,0,8,4,11,39,8,0.298,23,18,108,34,0.271
592663,41,0.275,0.493,0.82,1,9,25,83,263,64,0.328,148,92,538,123,0.309
516416,30,0.28,0.42,0.743,2,10,12,60,205,53,0.323,161,79,576,73,0.302
546990,1,0.179,0.286,0.519,0,2,1,1,13,1,0.233,5,3,28,11,0.25
624428,40,0.278,0.417,0.753,5,5,10,50,181,50,0.336,154,80,554,75,0.306
570481,9,0.254,0.317,0.618,1,4,1,6,67,6,0.301,36,15,142,37,0.333
592567,30,0.277,0.429,0.751,1,0,13,80,216,44,0.322,129,46,466,117,0.341
621028,28,0.308,0.446,0.8,8,16,12,64,197,38,0.353,152,61,493,62,0.333
605421,8,0.217,0.326,0.672,0,0,0,2,9,5,0.345,10,6,46,19,0.37
570256,12,0.242,0.425,0.726,1,3,6,17,54,15,0.301,37,23,153,49,0.316
668804,46,0.314,0.503,0.88,2,3,16,68,178,57,0.377,154,83,491,121,0.387
607732,16,0.262,0.382,0.708,0,0,6,13,78,11,0.325,50,26,191,40,0.303
657061,10,0.211,0.361,0.626,0,0,2,13,70,15,0.266,31,16,147,40,0.276
605170,29,0.266,0.447,0.794,0,1,11,34,106,22,0.348,65,31,244,59,0.305
663757,20,0.231,0.41,0.738,0,1,6,24,57,14,0.328,36,24,156,48,0.286
543333,40,0.265,0.425,0.735,3,0,22,99,231,53,0.31,164,72,619,163,0.323
592518,65,0.256,0.462,0.796,3,5,32,85,224,55,0.334,150,81,587,128,0.274
571976,51,0.239,0.418,0.739,7,16,18,53,174,41,0.321,104,58,435,168,0.344
543592,23,0.269,0.454,0.796,0,1,10,31,88,23,0.342,64,37,238,63,0.325
657434,4,0.19,0.429,0.72,0,0,2,3,21,5,0.292,8,4,42,17,0.261
502054,81,0.273,0.45,0.818,4,25,21,68,237,56,0.369,155,77,567,123,0.316
